screen_id,route,page_widget,layout_pattern,vpc_owner_file,rules_1_6_status,l1,l2,l5,l3,exception_reason
SC-122,AppRoutePaths.tradeBotSecuritySettings,BotSecuritySettingsPage,direct_vpc,features/trade/presentation/pages/bot_security_settings_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-126,AppRoutePaths.tradeBotStrategyCompare,BotStrategyComparePage,shared_shell,features/trade/presentation/pages/bot_strategy_compare_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-119,AppRoutePaths.tradeBotSuitabilityAssessment,BotSuitabilityAssessmentPage,direct_vpc,features/trade/presentation/pages/bot_suitability_assessment_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-133,AppRoutePaths.tradeBotTaxReporting,BotTaxReportingPage,direct_vpc,features/trade/presentation/pages/bot_tax_reporting_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-117,AppRoutePaths.tradeBotTermsOfService,BotTermsOfServicePage,shared_shell,features/trade/presentation/pages/bot_terms_of_service_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-059,AppRoutePaths.tradeBots,TradingBotsPage,shared_shell,features/trade/presentation/pages/trading_bots_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-056,AppRoutePaths.tradeConvert,ConvertPage,shared_shell,features/trade/presentation/pages/convert_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-066,AppRoutePaths.tradeCopyActive,ActiveCopiesPage,direct_vpc,features/trade/presentation/pages/active_copies_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-095,AppRoutePaths.tradeCopyArmIntegrationStatus,ArmIntegrationStatusPage,shared_shell,features/trade/presentation/pages/arm_integration_status_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-115,AppRoutePaths.tradeCopyAuditTrail,AuditTrailPage,shared_shell,features/trade/presentation/pages/audit_trail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-096,AppRoutePaths.tradeCopyBestExecutionReports,BestExecutionReportsPage,direct_vpc,features/trade/presentation/pages/best_execution_reports_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-103,AppRoutePaths.tradeCopyCassReconciliation,CassReconciliationPage,shared_shell,features/trade/presentation/pages/cass_reconciliation_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-099,AppRoutePaths.tradeCopyClientCategorization,ClientCategorizationPage,direct_vpc,features/trade/presentation/pages/client_categorization_opt_up_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-102,AppRoutePaths.tradeCopyClientMoneyProtection,ClientMoneyProtectionPage,direct_vpc,features/trade/presentation/pages/client_money_protection_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
