category,file,line,owner,sourceWidget,actionSource,trailingKind,icon,classification,canonicalAction,canonicalIcon,needsMigration,notes
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_ownership_page.dart","67","_P2PPaymentMethodOwnershipPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_verification_page.dart","74","_P2PPaymentMethodVerificationPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_payment_methods_page.dart","83","_P2PPaymentMethodsPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_report_merchant_page.dart","76","_P2PReportMerchantPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_reviews_page.dart","59","_P2PReviewsPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_risk_assessment_page.dart","48","P2PRiskAssessmentPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_security_center_page.dart","54","P2PSecurityCenterPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_security_center_page.dart","185","P2PWhitelistModePage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_settings_page.dart","71","_P2PSettingsPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_source_of_funds_page.dart","64","_P2PSourceOfFundsPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_suspicious_activity_page.dart","64","_P2PSuspiciousActivityPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart","80","_P2PTaxReportingPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_trading_level_page.dart","47","P2PTradingLevelPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_transaction_limits_page.dart","55","P2PTransactionLimitsPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_video_verification_page.dart","55","_P2PVideoVerificationPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_wallet_page.dart","71","_P2PWalletPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p/presentation/pages/p2p_wallet_transfer_page.dart","107","_P2PWalletTransferPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_advanced_chart_page_part_01.dart","59","_PredictionAdvancedChartPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_data_integration_page.dart","93","_PredictionDataIntegrationPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_event_calendar_page.dart","72","_PredictionEventCalendarPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart","127","_PredictionEventDetailPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_market_maker_page.dart","108","_PredictionMarketMakerPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_order_receipt_page.dart","61","PredictionOrderReceiptPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_portfolio_analyzer_page.dart","68","_PredictionPortfolioAnalyzerPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_risk_calculator_page.dart","134","_PredictionRiskCalculatorPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_social_page.dart","90","_PredictionSocialPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/prediction_tournaments_page.dart","69","_PredictionTournamentsPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/predictions_breaking_page.dart","76","_PredictionsBreakingPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/predictions_global_activity_page.dart","65","_PredictionsGlobalActivityPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/predictions_leaderboard_page.dart","73","_PredictionsLeaderboardPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/predictions/presentation/pages/predictions_portfolio_page.dart","82","_PredictionsPortfolioPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
