feature,route,page,page_file,screen_level,archetype,body_grade,density_score,density_priority,density_reason,shared_component_count,custom_body_count,relaxed_padding_count,loose_gap_count,relaxed_gap_count,large_gap_count,max_width_count,center_count,section_header_count,vit_card_count,source_files
earn,AppRoutePaths.earnSavingsPortfolio,SavingsPortfolioPage,flutter_app/lib/features/earn/presentation/pages/savings_portfolio_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,31,27,0,0,0,0,0,4,0,9,flutter_app/lib/features/earn/presentation/pages/savings_portfolio_page.dart;flutter_app/lib/features/earn/presentation/pages/savings_portfolio_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/savings_portfolio_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/savings_portfolio_page_part_03.dart
earn,AppRoutePaths.earnSavingsRecommendations,SavingsRecommendationsPage,flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,custom>28 by 1,28,29,0,0,0,0,0,1,0,6,flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page.dart;flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_03.dart
earn,AppRoutePaths.earnAdvancedOrders,StakingAdvancedOrdersPage,flutter_app/lib/features/earn/presentation/pages/staking_advanced_orders_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,30,18,0,0,0,0,0,1,0,9,flutter_app/lib/features/earn/presentation/pages/staking_advanced_orders_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking_advanced_orders_guidance.dart;flutter_app/lib/features/earn/presentation/widgets/staking_advanced_orders_overview_orders.dart;flutter_app/lib/features/earn/presentation/widgets/staking_advanced_orders_sheet_fields.dart
earn,AppRoutePaths.earnInstitutional,StakingInstitutionalPage,flutter_app/lib/features/earn/presentation/pages/staking_institutional_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,24,19,0,0,0,0,0,0,0,7,flutter_app/lib/features/earn/presentation/pages/staking_institutional_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking_institutional_overview_batches.dart;flutter_app/lib/features/earn/presentation/widgets/staking_institutional_sheet_painter.dart;flutter_app/lib/features/earn/presentation/widgets/staking_institutional_signers_features.dart
earn,AppRoutePaths.earnInsurance,StakingInsurancePage,flutter_app/lib/features/earn/presentation/pages/staking_insurance_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,47,31,0,0,0,0,0,0,0,15,flutter_app/lib/features/earn/presentation/pages/staking_insurance_page.dart;flutter_app/lib/features/earn/presentation/pages/staking_insurance_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/staking_insurance_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/staking_insurance_page_part_03.dart
earn,AppRoutePaths.earnProofOfReserves,StakingProofOfReservesPage,flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,57,34,0,0,0,0,0,2,0,15,flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_01.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_02.dart;flutter_app/lib/features/earn/presentation/pages/staking_proof_of_reserves_page_part_03.dart
earn,AppRoutePaths.earnRiskDashboard,StakingRiskDashboardPage,flutter_app/lib/features/earn/presentation/pages/staking_risk_dashboard_page.dart,L2_sectionHub,detail,A,1,Pass_or_low_signal,no static density signal,23,13,0,0,0,0,0,4,0,8,flutter_app/lib/features/earn/presentation/pages/staking_risk_dashboard_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking_risk_dashboard_page_common.dart;flutter_app/lib/features/earn/presentation/widgets/staking_risk_dashboard_page_sections.dart
earn,AppRoutePaths.earnTransactionReporting,StakingTransactionReportingPage,flutter_app/lib/features/earn/presentation/pages/staking_transaction_reporting_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,44,28,0,0,0,0,0,0,0,17,flutter_app/lib/features/earn/presentation/pages/staking_transaction_reporting_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking_transaction_reporting_sheet_widgets.dart;flutter_app/lib/features/earn/presentation/widgets/staking_transaction_reporting_summary_widgets.dart;flutter_app/lib/features/earn/presentation/widgets/staking_transaction_reporting_transaction_widgets.dart
earn,AppRoutePaths.earnWebhooks,StakingWebhooksPage,flutter_app/lib/features/earn/presentation/pages/staking_webhooks_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,16,7,0,0,0,0,0,0,0,3,flutter_app/lib/features/earn/presentation/pages/staking_webhooks_page.dart
launchpad,AppRoutePaths.launchpadEventLog,LaunchpadEventLogPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_event_log_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,15,13,0,0,0,0,1,3,0,3,flutter_app/lib/features/launchpad/presentation/pages/launchpad_event_log_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_event_log_export_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_event_log_filter_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_event_log_list_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_event_log_misc_widgets.dart
launchpad,AppRoutePaths.launchpadMultisig,LaunchpadMultisigPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_multisig_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,29,20,0,0,0,0,1,2,0,5,flutter_app/lib/features/launchpad/presentation/pages/launchpad_multisig_page.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_multisig_page_part_01.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_multisig_page_part_02.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_multisig_page_part_03.dart
launchpad,AppRoutePaths.launchpadRebalance,LaunchpadRebalancePage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_rebalance_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,20,19,0,0,0,0,1,2,0,6,flutter_app/lib/features/launchpad/presentation/pages/launchpad_rebalance_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_allocation.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_calculations.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_confirm_sheet.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_deviation.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_hero.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_strategy.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_suggestions.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_rebalance_summary.dart
launchpad,AppRoutePaths.launchpadSwapAggregator,LaunchpadSwapAggregatorPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_swap_aggregator_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,19,16,0,0,0,0,0,4,0,4,flutter_app/lib/features/launchpad/presentation/pages/launchpad_swap_aggregator_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_swap_aggregator_history_settings.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_swap_aggregator_input.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_swap_aggregator_quotes.dart
launchpad,AppRoutePaths.launchpadWebhooks,LaunchpadWebhooksPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_webhooks_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,37,22,0,0,0,0,1,1,0,5,flutter_app/lib/features/launchpad/presentation/pages/launchpad_webhooks_page.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_webhooks_page_part_01.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_webhooks_page_part_02.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_webhooks_page_part_03.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_webhooks_page_part_04.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_webhooks_common_widgets.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_webhooks_form_controls.dart;flutter_app/lib/features/launchpad/presentation/widgets/launchpad_webhooks_sheet_state.dart
markets,AppRoutePaths.marketsMovers,MarketMoversPage,flutter_app/lib/features/markets/presentation/pages/market_movers_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,13,1,0,0,0,0,0,2,0,5,flutter_app/lib/features/markets/presentation/pages/market_movers_page.dart;flutter_app/lib/features/markets/presentation/widgets/market_body_review_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_filters.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_results.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_row_common.dart;flutter_app/lib/features/markets/presentation/widgets/market_movers_sparkline.dart
markets,AppRoutePaths.marketsScreener,MarketScreenerPage,flutter_app/lib/features/markets/presentation/pages/market_screener_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,13,9,0,0,0,0,0,2,0,5,flutter_app/lib/features/markets/presentation/pages/market_screener_page.dart;flutter_app/lib/features/markets/presentation/widgets/market_body_review_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/market_screener_filters.dart;flutter_app/lib/features/markets/presentation/widgets/market_screener_results.dart;flutter_app/lib/features/markets/presentation/widgets/market_screener_row_common.dart
markets,'/pair/:pairId',PairDetailPage,flutter_app/lib/features/markets/presentation/pages/pair_detail_page.dart,L2_instrumentDetail,instrument,A,1,Pass_or_low_signal,no static density signal,15,5,0,0,0,0,0,6,0,3,flutter_app/lib/features/markets/presentation/pages/pair_detail_page.dart;flutter_app/lib/features/markets/presentation/widgets/pair_detail_chart_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/pair_detail_header_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/pair_detail_order_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/pair_detail_painter_widgets.dart
markets,AppRoutePaths.marketsAlerts,PriceAlertsPage,flutter_app/lib/features/markets/presentation/pages/price_alerts_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,custom>13 by 1,13,14,0,0,0,0,0,1,0,5,flutter_app/lib/features/markets/presentation/pages/price_alerts_page.dart;flutter_app/lib/features/markets/presentation/widgets/market_body_review_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/price_alerts_page_common.dart;flutter_app/lib/features/markets/presentation/widgets/price_alerts_page_details.dart;flutter_app/lib/features/markets/presentation/widgets/price_alerts_page_overview.dart
markets,AppRoutePaths.marketsSignals,SocialSignalsPage,flutter_app/lib/features/markets/presentation/pages/social_signals_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,17,14,0,0,0,0,0,6,1,9,flutter_app/lib/features/markets/presentation/pages/social_signals_page.dart;flutter_app/lib/features/markets/presentation/pages/social_signals_page_part_01.dart;flutter_app/lib/features/markets/presentation/pages/social_signals_page_part_02.dart;flutter_app/lib/features/markets/presentation/pages/social_signals_page_part_03.dart;flutter_app/lib/features/markets/presentation/widgets/market_body_review_widgets.dart
markets,AppRoutePaths.marketsWatchlist,WatchlistPage,flutter_app/lib/features/markets/presentation/pages/watchlist_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,15,10,0,0,0,0,0,1,0,4,flutter_app/lib/features/markets/presentation/pages/watchlist_page.dart;flutter_app/lib/features/markets/presentation/widgets/market_body_review_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/watchlist_cards.dart;flutter_app/lib/features/markets/presentation/widgets/watchlist_common_painter.dart;flutter_app/lib/features/markets/presentation/widgets/watchlist_toolbar.dart
p2p,AppRoutePaths.p2pBlacklistAdd,P2PBlacklistAddPage,flutter_app/lib/features/p2p/presentation/pages/p2p_blacklist_add_page.dart,L3_transactionFlow,detail,A,1,Pass_or_low_signal,no static density signal,13,5,0,0,0,0,0,0,0,3,flutter_app/lib/features/p2p/presentation/pages/p2p_blacklist_add_page.dart
p2p,AppRoutePaths.p2pMerchantApply,P2PMerchantApplyPage,flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_apply_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,27,20,0,0,0,0,0,1,0,8,flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_apply_page.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_apply_page_part_01.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_apply_page_part_02.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_apply_page_part_03.dart
p2p,'/p2p/order/:orderId',P2POrderPage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_page.dart,L2_entityDetail,detail,A,1,Pass_or_low_signal,no static density signal,22,16,0,0,0,0,0,2,0,9,flutter_app/lib/features/p2p/presentation/pages/p2p_order_page.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_order_page_part_01.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_order_page_part_02.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_order_page_part_03.dart
p2p,'/p2p/order/rate/:orderId',P2POrderRatePage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_rate_page.dart,L2_entityDetail,detail,A,1,Pass_or_low_signal,no static density signal,17,8,0,0,0,0,1,2,0,3,flutter_app/lib/features/p2p/presentation/pages/p2p_order_rate_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_order_rate_widgets.dart
p2p,AppRoutePaths.p2pKycFaceMatch,P2PSelfieVerificationPage,flutter_app/lib/features/p2p/presentation/pages/p2p_selfie_verification_page.dart,L3_transactionFlow,detail,A,1,Pass_or_low_signal,no static density signal,31,27,0,0,0,0,0,0,0,10,flutter_app/lib/features/p2p/presentation/pages/p2p_selfie_verification_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_selfie_verification_page_common.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_selfie_verification_page_sections.dart
p2p,AppRoutePaths.p2pKycSelfie,P2PSelfieVerificationPage,flutter_app/lib/features/p2p/presentation/pages/p2p_selfie_verification_page.dart,L3_transactionFlow,detail,A,1,Pass_or_low_signal,no static density signal,31,27,0,0,0,0,0,0,0,10,flutter_app/lib/features/p2p/presentation/pages/p2p_selfie_verification_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_selfie_verification_page_common.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_selfie_verification_page_sections.dart
p2p,AppRoutePaths.p2pSettings,P2PSettingsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_settings_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,custom>20 by 1,20,21,0,0,0,0,0,1,0,6,flutter_app/lib/features/p2p/presentation/pages/p2p_settings_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_settings_hours_common.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_settings_trade_security.dart
p2p,AppRoutePaths.p2pTradingLevel,P2PTradingLevelPage,flutter_app/lib/features/p2p/presentation/pages/p2p_trading_level_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,26,14,0,0,0,0,0,2,0,3,flutter_app/lib/features/p2p/presentation/pages/p2p_trading_level_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_trading_level_cards.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_trading_level_hero_progress.dart
predictions,'/markets/predictions/receipt/:receiptId',PredictionOrderReceiptPage,flutter_app/lib/features/predictions/presentation/pages/prediction_order_receipt_page.dart,L3_transactionFlow,detail,A,1,Pass_or_low_signal,no static density signal,17,7,0,0,0,0,0,1,0,5,flutter_app/lib/features/predictions/presentation/pages/prediction_order_receipt_page.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_order_receipt_page_common.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_order_receipt_page_sections.dart
predictions,AppRoutePaths.marketsPredictionsActivity,PredictionsGlobalActivityPage,flutter_app/lib/features/predictions/presentation/pages/predictions_global_activity_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,9,9,0,0,0,0,0,2,0,4,flutter_app/lib/features/predictions/presentation/pages/predictions_global_activity_page.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_global_activity_feed_widgets.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_global_activity_widgets.dart
profile,AppRoutePaths.profileKyc,KYCPage,flutter_app/lib/features/profile/presentation/pages/kyc_page.dart,L3_transactionFlow,detail,A,1,Pass_or_low_signal,no static density signal,10,8,0,0,0,0,0,1,0,3,flutter_app/lib/features/profile/presentation/pages/kyc_page.dart;flutter_app/lib/features/profile/presentation/widgets/kyc_details_privacy.dart;flutter_app/lib/features/profile/presentation/widgets/kyc_status_levels.dart
referral,AppRoutePaths.referralRewards,ReferralRewardsPage,flutter_app/lib/features/referral/presentation/pages/referral_rewards_page.dart,L1_utilityHub,detail,A,1,Pass_or_low_signal,no static density signal,28,20,0,0,0,0,0,4,0,9,flutter_app/lib/features/referral/presentation/pages/referral_rewards_page.dart;flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_01.dart;flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_02.dart;flutter_app/lib/features/referral/presentation/pages/referral_rewards_page_part_03.dart
trade,AppRoutePaths.tradeMarginAdvancedAnalytics,AdvancedAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,42,16,0,0,0,0,0,0,0,12,flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page_part_04.dart
trade,AppRoutePaths.tradeBotEquityCurve,BotEquityCurvePage,flutter_app/lib/features/trade/presentation/pages/bot_equity_curve_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,24,11,0,0,0,0,1,0,0,5,flutter_app/lib/features/trade/presentation/pages/bot_equity_curve_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_equity_curve_analysis_painters.dart;flutter_app/lib/features/trade/presentation/widgets/bot_equity_curve_charts_cards.dart;flutter_app/lib/features/trade/presentation/widgets/bot_equity_curve_summary_tabs.dart
trade,AppRoutePaths.tradeBotSecuritySettings,BotSecuritySettingsPage,flutter_app/lib/features/trade/presentation/pages/bot_security_settings_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,40,15,0,0,0,0,0,0,0,8,flutter_app/lib/features/trade/presentation/pages/bot_security_settings_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_cards.dart;flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_security_settings_sheets.dart
trade,AppRoutePaths.tradeCopyEducation,CopyEducationPage,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,custom>13 by 1,13,14,0,0,0,0,0,0,0,3,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart;flutter_app/lib/features/trade/presentation/widgets/copy_education_page_common.dart;flutter_app/lib/features/trade/presentation/widgets/copy_education_page_sections.dart
trade,AppRoutePaths.tradeCopyTrading,CopyTradingPage,flutter_app/lib/features/trade/presentation/pages/copy_trading_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,20,14,0,0,0,0,1,0,0,4,flutter_app/lib/features/trade/presentation/pages/copy_trading_page.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_hero.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_list.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_metrics_common.dart
trade,AppRoutePaths.tradeCopyTradingV2,CopyTradingV2Page,flutter_app/lib/features/trade/presentation/pages/copy_trading_v2_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,43,15,0,0,0,0,1,0,0,14,flutter_app/lib/features/trade/presentation/pages/copy_trading_v2_page.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_common.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_list.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_v2_variant_hero.dart
trade,AppRoutePaths.tradeMarginMarketDataAnalytics,MarketDataAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,53,3,0,0,0,0,0,2,0,13,flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page.dart;flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page_part_04.dart
trade,AppRoutePaths.tradeOrdersHistory,OrdersHistoryPage,flutter_app/lib/features/trade/presentation/pages/orders_history_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,18,7,0,0,0,0,0,0,0,6,flutter_app/lib/features/trade/presentation/pages/orders_history_page.dart;flutter_app/lib/features/trade/presentation/widgets/orders_history_page_common.dart;flutter_app/lib/features/trade/presentation/widgets/orders_history_page_sections.dart;flutter_app/lib/features/trade/presentation/widgets/trade_body_review_widgets.dart
trade,AppRoutePaths.tradeExport,TradeHistoryExportPage,flutter_app/lib/features/trade/presentation/pages/trade_history_export_page.dart,L2_utilityDetail,detail,A,1,Pass_or_low_signal,no static density signal,28,8,0,0,0,0,0,1,1,10,flutter_app/lib/features/trade/presentation/pages/trade_history_export_page.dart;flutter_app/lib/features/trade/presentation/widgets/trade_body_review_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/trade_history_export_footer.dart;flutter_app/lib/features/trade/presentation/widgets/trade_history_export_selectors_includes.dart;flutter_app/lib/features/trade/presentation/widgets/trade_history_export_summary_sections.dart
trade,'/trade/:pairId',TradePage,flutter_app/lib/features/trade/presentation/pages/trade_page.dart,L1_instrumentWorkspace,instrument,A,1,Pass_or_low_signal,no static density signal,52,20,0,0,0,0,1,1,0,16,flutter_app/lib/features/trade/presentation/pages/trade_page.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_03.dart
trade,AppRoutePaths.trade,TradePage,flutter_app/lib/features/trade/presentation/pages/trade_page.dart,L1_instrumentWorkspace,instrument,A,1,Pass_or_low_signal,no static density signal,52,20,0,0,0,0,1,1,0,16,flutter_app/lib/features/trade/presentation/pages/trade_page.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_03.dart
wallet,AppRoutePaths.walletDustConverter,DustConverterPage,flutter_app/lib/features/wallet/presentation/pages/dust_converter_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,26,14,0,0,0,0,0,0,1,9,flutter_app/lib/features/wallet/presentation/pages/dust_converter_page.dart;flutter_app/lib/features/wallet/presentation/widgets/wallet_dust_converter_assets.dart;flutter_app/lib/features/wallet/presentation/widgets/wallet_dust_converter_confirm.dart;flutter_app/lib/features/wallet/presentation/widgets/wallet_dust_converter_hero.dart;flutter_app/lib/features/wallet/presentation/widgets/wallet_dust_converter_targets.dart
wallet,AppRoutePaths.walletNetworkStatus,NetworkStatusPage,flutter_app/lib/features/wallet/presentation/pages/network_status_page.dart,L2_detail,detail,A,1,Pass_or_low_signal,no static density signal,32,13,0,0,0,0,0,0,0,12,flutter_app/lib/features/wallet/presentation/pages/network_status_page.dart;flutter_app/lib/features/wallet/presentation/widgets/network_status_cards_stats.dart;flutter_app/lib/features/wallet/presentation/widgets/network_status_legend_common.dart;flutter_app/lib/features/wallet/presentation/widgets/network_status_summary.dart
wallet,'/wallet/transaction/:txId',TransactionDetailPage,flutter_app/lib/features/wallet/presentation/pages/transaction_detail_page.dart,L2_entityDetail,detail,A,1,Pass_or_low_signal,no static density signal,28,12,0,0,0,0,0,0,0,4,flutter_app/lib/features/wallet/presentation/pages/transaction_detail_page.dart;flutter_app/lib/features/wallet/presentation/widgets/transaction_detail_page_common.dart;flutter_app/lib/features/wallet/presentation/widgets/transaction_detail_page_sections.dart
admin,AppRoutePaths.admin,AdminHome,flutter_app/lib/features/admin/presentation/pages/admin_home.dart,L2_detail,detail,A,0,Pass_or_low_signal,no static density signal,14,13,0,0,0,0,0,0,0,4,flutter_app/lib/features/admin/presentation/pages/admin_home.dart;flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart;flutter_app/lib/features/admin/presentation/widgets/admin_home_metrics_realtime.dart
admin,AppRoutePaths.adminSettings,AdminSettingsPage,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,L2_utilityDetail,detail,A,0,Pass_or_low_signal,no static density signal,7,4,0,0,0,0,0,0,0,3,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart
admin,AppRoutePaths.adminAnalytics,AnalyticsDashboard,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart,L2_sectionHub,detail,A,0,Pass_or_low_signal,no static density signal,15,12,0,0,0,0,0,1,0,6,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart;flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_common.dart;flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_sections.dart
arena,'/arena/challenge/:challengeId',ArenaChallengeDetailPage,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,L2_entityDetail,detail,A,0,Pass_or_low_signal,no static density signal,68,35,0,0,0,0,0,3,0,16,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart;flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_01.dart;flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_02.dart;flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_03.dart
arena,'/arena/creator/:creatorId',ArenaCreatorPage,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,L2_entityDetail,detail,A,0,Pass_or_low_signal,no static density signal,30,12,0,0,0,0,0,3,0,7,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart;flutter_app/lib/features/arena/presentation/widgets/arena_creator_common.dart;flutter_app/lib/features/arena/presentation/widgets/arena_creator_hero_trust.dart;flutter_app/lib/features/arena/presentation/widgets/arena_creator_tabs.dart
arena,AppRoutePaths.arenaFlowMap,ArenaFlowMapPage,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,L2_detail,detail,A,0,Pass_or_low_signal,no static density signal,28,18,0,0,0,0,0,2,0,9,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart;flutter_app/lib/features/arena/presentation/widgets/arena_flow_map_nodes.dart;flutter_app/lib/features/arena/presentation/widgets/arena_flow_map_overview.dart;flutter_app/lib/features/arena/presentation/widgets/arena_flow_map_qa.dart
