module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
arena,flutter_app/lib/features/arena/presentation/pages/my_arena_page.dart,173,my_arena_page.dart,,context.go,widget.contractScope == MyArenaContractScope.arena ? AppRoutePaths.arena : AppRoutePaths.profile,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/my_arena_page.dart,170,my_arena_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/my_arena_reports_page.dart,154,my_arena_reports_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/my_arena_reports_page.dart,151,my_arena_reports_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/verified_challenges_page.dart,85,verified_challenges_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/verified_challenges_page.dart,82,verified_challenges_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,83,arena_points_entry_detail_page_sections.dart,Mô tả | Mã lý do | Thời gian | Challenge liên quan,context.go,AppRoutePaths.arenaChallenge(entry.linkedChallengeId!),/arena/challenge/<entry.linkedChallengeId!>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,93,arena_points_entry_detail_page_sections.dart,Mã lý do | Thời gian | Challenge liên quan | Mode liên quan,context.go,AppRoutePaths.arenaMode(entry.linkedModeId!),/arena/mode/<entry.linkedModeId!>,ArenaModeDetailPage (/arena/mode/:modeId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_entry_detail_page_sections.dart,255,arena_points_entry_detail_page_sections.dart,Xem challenge,context.go,AppRoutePaths.arenaChallenge(entry.linkedChallengeId!),/arena/challenge/<entry.linkedChallengeId!>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_points_ledger_page_sections.dart,204,arena_points_ledger_page_sections.dart,,context.go,AppRoutePaths.arenaLedgerEntry(entry.id),/arena/ledger/entry/<entry.id>,ArenaPointsEntryDetailPage (/arena/ledger/entry/:entryId),
arena,flutter_app/lib/features/arena/presentation/widgets/arena_report_case_related_common.dart,23,arena_report_case_related_common.dart,,context.go,AppRoutePaths.arenaReportCase(report.id),/arena/report/<report.id>,ArenaReportCasePage (/arena/report/:caseId),
