direction,module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
internal,trade,flutter_app/lib/features/trade/presentation/pages/pre_copy_assessment_page.dart,77,pre_copy_assessment_page.dart,SC-071 PreCopyAssessmentPage,context.go,AppRoutePaths.tradeCopyProvider(widget.providerId),/trade/copy-provider/<widget.providerId>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
internal,trade,flutter_app/lib/features/trade/presentation/pages/product_governance_page.dart,76,product_governance_page.dart,Product Governance | MiFID II Oversight | SC-100 ProductGovernancePage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,207,provider_application_page.dart,,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,95,provider_application_page.dart,Đăng ký Provider | SC-069 ProviderApplicationPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,56,provider_comparison_page.dart,So sánh Providers | SC-076 ProviderComparisonPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,61,provider_comparison_page.dart,So sánh Providers | SC-076 ProviderComparisonPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,93,provider_comparison_page.dart,+ Thêm provider,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_governance_page.dart,78,provider_governance_page.dart,Provider Governance | SC-081 ProviderGovernancePage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_leaderboard_page.dart,142,provider_leaderboard_page.dart,,context.go,"AppRoutePaths.tradeCopyProvider( entry.$2.id, backPath: AppRoutePaths.tradeCopyLeaderboard, )",/trade/copy-provider/<entry.$2.id>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
internal,trade,flutter_app/lib/features/trade/presentation/pages/provider_leaderboard_page.dart,86,provider_leaderboard_page.dart,Leaderboard | SC-079 ProviderLeaderboardPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/regulatory_disclosures_page.dart,75,regulatory_disclosures_page.dart,Regulatory Disclosures | SC-084 RegulatoryDisclosuresPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
internal,trade,flutter_app/lib/features/trade/presentation/pages/regulatory_inspection_ready_page.dart,66,regulatory_inspection_ready_page.dart,Regulatory Compliance | Inspection Ready Dashboard | SC-116 RegulatoryInspectionReadyPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
